4179	PL	27-200	Starachowice	Walstead Starachowice - P4	PL	01-377	Warszawa	ul. Polczynska 121	0	1	69.60	NULL	sredni	NULL	1400	PLN	01.08.2019	07:00:00	03.08.2019	16:00:00
4179	PL	27-200	Starachowice	Walstead Starachowice - P4	PL	04 -125	Warszawa	ul. Fieldorfa 41	0	1	81.20	NULL	sredni	NULL	1400	PLN	01.08.2019	07:00:00	03.08.2019	16:00:00
4179	PL	27-200	Starachowice	Walstead Starachowice - P4	PL	96-100	Skierniewice	ul. Czeslawa Liska 1	0	1	69.60	NULL	sredni	NULL	1400	PLN	01.08.2019	07:00:00	03.08.2019	16:00:00
4180	PL	27-200	Starachowice	Walstead Starachowice - P4	PL	43-300	Bielsko-Biala	ul. Warszawska 180	0	1	92.80	NULL	sredni	NULL	2150	PLN	01.08.2019	05:30:00	03.08.2019	16:00:00
4180	PL	27-200	Starachowice	Walstead Starachowice - P4	PL	44-200	Rybnik	ul. zorska 2	0	1	43.50	NULL	sredni	NULL	2150	PLN	01.08.2019	05:30:00	03.08.2019	16:00:00
4180	PL	27-200	Starachowice	Walstead Starachowice - P4	PL	58-105	swidnica	ul. Strzegomska 2	0	1	69.60	NULL	sredni	NULL	2150	PLN	01.08.2019	05:30:00	03.08.2019	16:00:00
4181	PL	27-200	Starachowice	Walstead Starachowice - P4	PL	61-696	Poznan	ul. Serbska 7	0	1	104.40	NULL	sredni	NULL	1400	PLN	04.08.2019	10:30:00	03.08.2019	16:00:00
4183	PL	27-200	Starachowice	Walstead Starachowice - P4	PL	42-575	Grodkow	ul. Zwyciestwa 32	10	1	6839.25	NULL	Duzy	NULL	950	PLN	03.08.2019	15:00:00	05.08.2019	12:00:00
4183	PL	27-200	Starachowice	Walstead Starachowice - P4	PL	44-100	Gliwice	ul. Gutenberga 1	11	1	7862.25	NULL	Duzy	NULL	950	PLN	03.08.2019	15:00:00	05.08.2019	12:00:00
4184	PL	27-200	Starachowice	Walstead Starachowice - P4	PL	07-221	Branszczyk	Turzyn 191E	8	1	5799.75	NULL	Duzy	NULL	1900	PLN	05.08.2019	04:30:00	05.08.2019	12:00:00
4207	PL	30-740	Krakow	Walstead - CLK	DE	90471	Nurnberg	Poststraße 2, BZ90 GroßASt, Tor 1-3	2	10	1500.04	836	Duzy	NULL	830	EUR	06.08.2019	10:30:00	08.08.2019	00:00:00
4221	PL	27-200	Starachowice	Walstead Starachowice - P4	HU	2360	Gyál	Hrsz: 7000/13	13	1	1355.40	592	Duzy	NULL	830	EUR	06.08.2019	13:30:00	07.08.2019	16:00:00
4247	PL	30-740	Krakow	Walstead - CLK	DE	90471	Nurnberg	Poststraße 2, BZ90 GroßASt, Tor 1-3	1	2	879.94	NULL	Maly	NULL	350	EUR	05.08.2019	10:00:00	07.08.2019	12:00:00
4255	PL	27-200	Starachowice	Walstead Starachowice - P4	FR	95500	GONESSE	9 rue Amp?re	0	1	206.40	NULL	Maly	NULL	750	EUR	01.08.2019	12:30:00	02.08.2019	18:00:00
4268	PL	30-740	Krakow	Walstead - CLK	BE	2800	Mechelen	Generaal de Wittelaan 11C	0	14	178.28	NULL	Duzy	NULL	1000	EUR	03.08.2019	12:30:00	06.08.2019	09:00:00
4270	PL	27-200	Starachowice	Walstead Starachowice - P4	PL	16-400	SUWA£KI	PÓ£NOCNA 30	33	0	20244.84	NULL	Duzy	NULL	1650	PLN	08.08.2019	14:00:00	09.08.2019	12:00:00
4310	PL	27-200	Starachowice	Walstead Starachowice - P4	NL	1704 SB	Heerhugowaard	Newtonstraat 46	0	1	225.00	NULL	Duzy	NULL	1450	EUR	06.08.2019	10:30:00	08.08.2019	00:00:00
4319	PL	27-200	Starachowice	Walstead Starachowice - P4	PL	01-117	Warszawa	ul. Annopol 19	2	1	1548.00	NULL	Duzy	NULL	1050	PLN	03.08.2019	23:30:00	04.08.2019	05:00:00
4320	PL	27-200	Starachowice	Walstead Starachowice - P4	PL	05-080	Izabelin-Mosciska	ul. Bakaliowa 3	14	3	7598.15	NULL	Duzy	NULL	1050	PLN	04.08.2019	03:30:00	04.08.2019	23:00:00
4321	PL	27-200	Starachowice	Walstead Starachowice - P4	PL	00-992	Warszawa	ul. Jagiellonska 88	2	1	1500.00	NULL	Duzy	NULL	1050	PLN	04.08.2019	05:00:00	04.08.2019	06:00:00
4321	PL	27-200	Starachowice	Walstead Starachowice - P4	PL	00-992	Warszawa	ul. Jagiellonska 88	2	2	1772.75	NULL	Duzy	NULL	1050	PLN	04.08.2019	05:00:00	04.08.2019	23:00:00
4324	PL	30-740	Krakow	Walstead - CLK	PL	30-900	Krakow	ul. Prokocimska 6	9	2	NULL	NULL	sredni	NULL	200	PLN	05.08.2019	09:00:00	05.08.2019	08:00:00
4337	PL	27-200	Starachowice	Walstead Starachowice - P4	PL	05-850	Ozarow Mazowiecki	ul. Ozarowska 40/42	32	2	21106.80	NULL	Duzy	NULL	850	PLN	05.08.2019	03:00:00	05.08.2019	09:00:00
4343	PL	30-740	Krakow	Walstead - CLK	FR	94310	ORLY	2- 4 rue des oliviers	9	0	NULL	NULL	sredni	NULL	600	EUR	12.08.2019	13:30:00	14.08.2019	08:00:00
4349	PL	30-740	Krakow	Walstead - CLK	HU	2225	Üllõ	Zsároka út 8.	23	2	18049.50	415	Duzy	NULL	695	EUR	12.08.2019	12:00:00	13.08.2019	08:00:00
4355	PL	27-200	Starachowice	Walstead Starachowice - P4	NL	3739	Nieuwegein	Grote Walde 80	22	1	13229.42	NULL	Duzy	NULL	1250	EUR	06.08.2019	08:30:00	08.08.2019	00:00:00
4363	PL	30-740	Krakow	Walstead - CLK	PL	05-500	Piaseczno	Budynek nr 3	33	0	19958.40	NULL	Duzy	NULL	1150	PLN	05.08.2019	21:30:00	06.08.2019	06:00:00
4364	PL	30-740	Krakow	Walstead - CLK	PL	05-500	Piaseczno	Budynek nr 3	33	0	19958.40	NULL	Duzy	NULL	1150	PLN	05.08.2019	21:00:00	06.08.2019	07:30:00
4379	PL	30-740	Krakow	Walstead - CLK	PL	01-117	Warszawa	ul. Annopol 19	2	1	1312.50	NULL	Duzy	NULL	1200	PLN	05.08.2019	22:30:00	06.08.2019	00:00:00
4387	PL	30-740	Krakow	Walstead - CLK	DE	14532	Stahnsdorf	Ruhlsdorfer Str. 73-77	20	1	14187.56	NULL	Duzy	NULL	600	EUR	09.08.2019	17:00:00	12.08.2019	08:00:00
4388	PL	27-200	Starachowice	Walstead Starachowice - P4	NL	1704 SB	Heerhugowaard	Newtonstraat 46	14	2	10655.12	1340	Duzy	NULL	1700	EUR	09.08.2019	15:30:00	12.08.2019	00:00:00
4392	PL	27-200	Starachowice	Walstead Starachowice - P4	PL	5870	Blonie PAss		33	0	22176.00	NULL	Duzy	NULL	850	PLN	06.08.2019	03:30:00	06.08.2019	09:00:00
